"","X","brand","model","year","price","transmission","fuelType","engineSize","kmpl","kilometraggio"
"14960",63042,"Skoda"," Fabia",2017,12153.32,"Automatic","Petrol",1.2,21.1806167400881,25250
"14961",63045,"Skoda"," Fabia",2018,11594.2,"Manual","Petrol",1,20.3348017621145,5851
"14962",63051,"Skoda"," Fabia",2019,13334.2,"Manual","Petrol",1,18.1145374449339,2834
"14963",63059,"Skoda"," Fabia",2017,9245.2,"Manual","Petrol",1,20.7224669603524,44762
"14964",63061,"Skoda"," Fabia",2017,10312.4,"Manual","Petrol",1.2,21.1806167400881,31602
"14965",63065,"Skoda"," Fabia",2017,10434.2,"Manual","Petrol",1.2,21.1806167400881,38376
"14966",63068,"Skoda"," Fabia",2019,9512,"Manual","Petrol",1,17.7621145374449,23880
"14967",63076,"Skoda"," Fabia",2012,6717.56,"Automatic","Petrol",1.2,18.784140969163,84336
"14968",63077,"Skoda"," Fabia",2015,7376.44,"Manual","Diesel",1.4,29.2863436123348,89859
"14969",63079,"Skoda"," Fabia",2005,3121.56,"Manual","Petrol",1.4,15.3303964757709,55971
"14970",63082,"Skoda"," Fabia",2019,13334.2,"Manual","Petrol",1,18.1145374449339,4803
"14971",63083,"Skoda"," Fabia",2016,12760,"Automatic","Petrol",1.2,21.1806167400881,10475
"14972",63084,"Skoda"," Fabia",2017,12522.2,"Automatic","Petrol",1.2,21.1806167400881,22333
"14973",63089,"Skoda"," Fabia",2009,2662.2,"Manual","Petrol",1.2,14.8722466960352,164232
"14974",63097,"Skoda"," Fabia",2015,8571.24,"Automatic","Diesel",1.4,27.6651982378855,83613
"14975",63120,"Skoda"," Fabia",2018,9842.6,"Manual","Petrol",1,22.625550660793,25941
"14976",63121,"Skoda"," Fabia",2017,11600,"Manual","Petrol",1,22.625550660793,29910
"14977",63126,"Skoda"," Fabia",2017,13328.4,"Automatic","Petrol",1.2,21.1806167400881,36834
"14978",63131,"Skoda"," Fabia",2018,11594.2,"Manual","Petrol",1,22.625550660793,37442
"14979",63132,"Skoda"," Fabia",2017,8120,"Manual","Petrol",1,20.3348017621145,15560
"14980",63134,"Skoda"," Fabia",2017,10196.4,"Manual","Petrol",1.2,21.1806167400881,30558
"14981",63135,"Skoda"," Fabia",2016,10702.16,"Automatic","Petrol",1.2,21.1806167400881,76043
"14982",63144,"Skoda"," Fabia",2010,2894.2,"Manual","Diesel",1.9,21.6387665198238,175320
"14983",63155,"Skoda"," Fabia",2019,13328.4,"Manual","Petrol",1,21.6387665198238,5083
"14984",63159,"Skoda"," Fabia",2017,8120,"Manual","Petrol",1.2,21.1806167400881,49837
"14985",63163,"Skoda"," Fabia",2018,8120,"Manual","Petrol",1,20.3348017621145,15640
"14986",63166,"Skoda"," Fabia",2019,12760,"Manual","Petrol",1,21.6387665198238,15131
"14987",63170,"Skoda"," Fabia",2019,14720.4,"Manual","Petrol",1,21.1806167400881,6181
"14988",63174,"Skoda"," Fabia",2012,2894.2,"Manual","Petrol",1.4,16.8810572687225,208000
"14989",63177,"Skoda"," Fabia",2011,6374.2,"Manual","Petrol",1.2,19.136563876652,50558
"14990",63181,"Skoda"," Fabia",2019,12702,"Manual","Petrol",1,18.1145374449339,10016
"14991",63201,"Skoda"," Fabia",2019,13328.4,"Manual","Petrol",1,21.6387665198238,18208
"14992",63205,"Skoda"," Fabia",2017,11826.2,"Manual","Petrol",1.2,21.1806167400881,26030
"14993",63208,"Skoda"," Fabia",2017,11600,"Manual","Petrol",1.2,20.7577092511013,32000
"14994",63209,"Skoda"," Fabia",2017,10730,"Manual","Petrol",1,20.3348017621145,13717
"14995",63222,"Skoda"," Fabia",2019,13682.2,"Manual","Petrol",1,21.6387665198238,17998
"14996",63224,"Skoda"," Fabia",2018,11936.4,"Manual","Petrol",1,22.625550660793,55202
"14997",63236,"Skoda"," Fabia",2016,14146.2,"Automatic","Petrol",1.2,21.1806167400881,6800
"14998",63238,"Skoda"," Fabia",2019,11930.6,"Manual","Petrol",1,21.1806167400881,10392
"14999",63259,"Skoda"," Fabia",2019,15306.2,"Manual","Petrol",1,21.1806167400881,4704
"15000",63261,"Skoda"," Fabia",2017,9256.8,"Manual","Petrol",1.2,21.1806167400881,52800
"15001",63264,"Skoda"," Fabia",2019,11472.4,"Manual","Petrol",1,20.3348017621145,5509
"15002",63272,"Skoda"," Fabia",2006,1502.2,"Manual","Diesel",1.4,21.1806167400881,225600
"15003",63279,"Skoda"," Fabia",2019,14494.2,"Automatic","Petrol",1,21.1806167400881,22413
"15004",63289,"Skoda"," Fabia",2019,13444.4,"Manual","Petrol",1,18.1145374449339,8403
"15005",63292,"Skoda"," Fabia",2017,13920,"Automatic","Petrol",1,21.6387665198238,22448
"15006",63293,"Skoda"," Fabia",2017,9860,"Manual","Petrol",1.2,21.1806167400881,11440
"15007",63295,"Skoda"," Fabia",2014,5556.4,"Manual","Diesel",1.6,23.7180616740088,110400
"15008",63302,"Skoda"," Fabia",2019,11472.4,"Manual","Petrol",1,20.3348017621145,3005
"15009",63331,"Skoda"," Fabia",2006,1154.2,"Manual","Petrol",1.2,16.5991189427313,172424
"15010",63332,"Skoda"," Fabia",2019,10892.4,"Manual","Petrol",1,20.3348017621145,11696
"15011",63333,"Skoda"," Fabia",2019,13920,"Manual","Petrol",1,18.1145374449339,4800
"15012",63335,"Skoda"," Fabia",2019,16170.4,"Manual","Petrol",1,17.7621145374449,5600
"15013",63353,"Skoda"," Fabia",2017,11594.2,"Semi-Auto","Petrol",1.2,21.1806167400881,28482
"15014",63356,"Skoda"," Fabia",2018,15573,"Semi-Auto","Petrol",1,21.1806167400881,8000
"15015",63362,"Skoda"," Fabia",2019,10898.2,"Manual","Petrol",1,20.3348017621145,12800
"15016",63364,"Skoda"," Fabia",2010,1450,"Manual","Diesel",1.4,19.5242290748899,232429
"15017",63376,"Skoda"," Fabia",2019,11576.8,"Manual","Petrol",1,20.3348017621145,22824
"15018",63377,"Skoda"," Fabia",2019,14720.4,"Manual","Petrol",1,21.1806167400881,10562
"15019",63397,"Skoda"," Fabia",2014,5440.4,"Manual","Diesel",1.6,23.7180616740088,147200
"15020",63401,"Skoda"," Fabia",2017,13084.8,"Automatic","Petrol",1,21.6387665198238,18560
"15021",63402,"Skoda"," Fabia",2017,12736.8,"Automatic","Petrol",1,21.6387665198238,25280
"15022",63407,"Skoda"," Fabia",2017,13084.8,"Automatic","Petrol",1,21.6387665198238,22720
"15023",63409,"Skoda"," Fabia",2017,12736.8,"Manual","Other",1.2,20.7577092511013,39200
"15024",63410,"Skoda"," Fabia",2017,13316.8,"Automatic","Petrol",1,21.6387665198238,17280
"15025",63414,"Skoda"," Fabia",2018,10764.8,"Manual","Petrol",1,20.3348017621145,8960
"15026",63415,"Skoda"," Fabia",2017,10416.8,"Manual","Petrol",1,22.625550660793,28000
"15027",63416,"Skoda"," Fabia",2018,10764.8,"Manual","Petrol",1,20.3348017621145,12640
"15028",63427,"Skoda"," Fabia",2018,13688,"Semi-Auto","Petrol",1,21.6387665198238,8112
"15029",63429,"Skoda"," Fabia",2007,1740,"Manual","Petrol",1.4,14.8722466960352,118400
